Code,Browser,CLDR Short Name,category
U+1F482,💂‍♂️,man guard,0
U+1F482,💂‍♀️,woman guard,0
U+1F977,🥷,ninja,0
U+1F477,👷,construction worker,0
U+1F477,👷‍♂️,man construction worker,0
U+1F477,👷‍♀️,woman construction worker,0
U+1FAC5,🫅,⊛ person with crown,0
U+1F934,🤴,prince,0
U+1F478,👸,princess,0
U+1F473,👳,person wearing turban,0
U+1F473,👳‍♂️,man wearing turban,0
U+1F473,👳‍♀️,woman wearing turban,남성
U+1F472,👲,person with skullcap,0
U+1F9D5,🧕,woman with headscarf,0
U+1F935,🤵,person in tuxedo,0
U+1F935,🤵‍♂️,man in tuxedo,0
U+1F935,🤵‍♀️,woman in tuxedo,0
U+1F470,👰,person with veil,0
U+1F470,👰‍♂️,man with veil,0
U+1F470,👰‍♀️,woman with veil,0
U+1F930,🤰,pregnant woman,0
U+1FAC3,🫃,⊛ pregnant man,여성/가족
U+1FAC4,🫄,⊛ pregnant person,0
U+1F931,🤱,breast-feeding,0
U+1F469,👩‍🍼,woman feeding baby,0
U+1F468,👨‍🍼,man feeding baby,0
U+1F9D1,🧑‍🍼,person feeding baby,0
U+1F47C,👼,baby angel,0
U+1F385,🎅,Santa Claus,0
U+1F936,🤶,Mrs. Claus,0
U+1F9D1,🧑‍🎄,mx claus,0
U+1F9B8,🦸,superhero,0
U+1F9B8,🦸‍♂️,man superhero,0
U+1F9B8,🦸‍♀️,woman superhero,0
U+1F9B9,🦹,supervillain,0
U+1F9B9,🦹‍♂️,man supervillain,0
U+1F9B9,🦹‍♀️,woman supervillain,0
U+1F9D9,🧙,mage,0
U+1F9D9,🧙‍♂️,man mage,0
U+1F9D9,🧙‍♀️,woman mage,0
U+1F9DA,🧚,fairy,0
U+1F9DA,🧚‍♂️,man fairy,0
U+1F9DA,🧚‍♀️,woman fairy,0
U+1F9DB,🧛,vampire,0
U+1F9DB,🧛‍♂️,man vampire,0
U+1F9DB,🧛‍♀️,woman vampire,0
U+1F9DC,🧜,merperson,0
